会员卡号,入会时间,性别,会员卡级别,工作地,所属国家,年龄
16812,2010/6/9,男,6,Selangor Darul Ehsan,MY,52
5241,2011/5/14,男,6,浙江,CN,31
49208,2010/5/28,男,6,北京,CN,44
38241,2005/8/13,男,6,广东,CN,53
38456,2007/11/15,男,5,CALIFORNIA,US,39
44377,2010/7/10,男,5,四川,CN,53
49737,2010/10/30,男,6,福建,CN,30
47919,2008/12/14,女,6,VIC,AU,43
23528,2012/8/15,男,6,CA,US,33
58088,2009/10/19,男,6,广东,CN,55
51079,2011/12/21,男,6,上海,CN,37
19420,2007/11/18,男,6,湖南,CN,47
58753,2010/10/13,男,5,PARIS,FR,28
13517,2010/8/14,女,6,PARIS,FR,45
56048,2013/3/15,男,6,Noord-Holland,NL,46
50434,2011/6/9,男,4,,US,44
13869,2010/10/26,男,6,广东,CN,42
47432,2005/10/21,男,5,广东,CN,47
60658,2012/6/29,女,6,FR,FR,37
9744,2006/7/13,男,5,北京,CN,53
18111,2008/9/19,男,6,新疆,CN,44
42444,2012/4/25,男,6,广东,CN,67
11055,2005/2/17,男,6,广东,CN,47
47107,2004/11/18,女,6,广东,CN,57
62880,2006/5/8,男,6,福建,CN,55
49441,2010/7/3,男,6,广东,CN,47
20569,2007/6/28,女,6,重庆,CN,35
47687,2007/10/5,男,6,广东,CN,70
37305,2008/6/13,男,6,广东,CN,40
58189,2011/1/31,男,6,广西,CN,54
25857,2007/1/26,男,6,北京,CN,43
951,2006/11/28,男,6,北京,CN,46
4178,2010/4/13,男,5,CA91030,US,41
2010,2004/11/26,男,6,广东,CN,40
38290,2005/9/23,男,6,广东,CN,66
57622,2011/4/14,男,6,ZUID HOLLAND,NL,55
2001,2004/11/11,女,6,广东省,CN,39
60311,2012/4/27,男,6,香港,HK,49
36030,2008/7/28,男,6,广东,CN,51
35766,2008/9/8,男,6,吉林,CN,56
33319,2012/4/28,男,5,新疆,CN,41
55096,2007/1/3,男,6,广东,CN,47
30681,2010/5/26,男,6,,JP,55
17837,2005/10/22,男,6,吉林,CN,48
3872,2009/1/18,男,6,香港,HK,61
56201,2005/4/5,男,6,广东,CN,36
4468,2011/9/14,女,6,ANDE,FR,33
32602,2011/10/9,男,6,CA,US,55
11277,2005/8/26,男,6,广东,CN,45
45117,2010/11/17,男,6,GA,US,30
19051,2006/11/28,男,6,北京,CN,42
19371,2007/5/31,男,5,NSW,AU,53
60020,2012/6/7,女,4,LA,US,49
2007,2004/11/25,男,6,广东,CN,43
56093,2004/11/24,男,6,广东省,CN,59
62762,2008/8/23,男,6,辽宁,CN,42
49215,2010/5/7,男,6,广东,CN,40
20362,2005/7/29,男,6,广东,CN,59
38022,2004/12/2,男,6,广东省,CN,36
47179,2005/3/16,男,4,广东,CN,54
17903,2008/5/30,男,6,吉林,CN,48
45581,2005/12/29,男,6,广东,CN,49
47255,2005/4/23,女,5,湖北,CN,48
876,2006/8/14,男,6,北京,CN,41
6088,2011/11/14,男,5,上海,CN,46
50931,2012/12/20,女,6,CA,US,47
38443,2007/6/8,男,6,广东,CN,47
8850,2006/4/17,男,6,新疆,CN,51
59307,2011/3/15,男,6,广东,CN,34
20121,2004/11/30,男,6,广东省,CN,66
53451,2012/6/26,男,6,新疆,CN,50
59669,2012/4/11,男,4,广东,CN,62
49369,2009/10/19,男,5,广东,CN,63
52814,2010/10/9,男,6,辽宁,CN,44
57377,2008/6/20,男,6,北京,CN,50
31219,2009/11/13,男,6,上海,CN,42
29392,2013/3/3,男,6,广东,CN,33
12578,2006/6/29,女,5,广东,CN,47
19439,2008/4/1,男,6,北京,CN,51
29034,2004/11/24,男,6,广东,CN,47
2012,2004/11/26,男,6,广东省,CN,51
47194,2005/4/2,男,6,北京,CN,53
26406,2009/8/27,男,6,新疆,CN,56
56437,2005/11/16,男,6,广东,CN,56
59509,2012/5/2,男,5,辽宁,CN,39
13061,2009/3/29,男,4,广东,CN,52
12155,2009/6/4,男,6,广东,CN,31
26960,2006/4/15,男,5,新疆,CN,47
1123,2007/5/8,男,4,NOORD HOLLAND,NL,51
12536,2010/5/27,男,6,CA,US,78
43627,2009/12/27,男,6,北京,CN,43
37021,2006/12/25,男,6,香港,HK,51
40792,2010/8/8,女,5,广东,CN,28
22418,2010/8/6,男,6,IIE DE FRANCE,FR,37
27900,2006/9/15,男,5,广东,CN,49
21245,2008/5/5,男,6,上海,CN,46
2006,2004/11/24,男,5,广东,CN,45
11028,2005/1/22,男,6,广东,CN,38
62642,2007/2/7,男,6,吉林,CN,61
29051,2004/12/7,女,6,广东,CN,46
19073,2006/11/9,男,6,广东,CN,39
58686,2011/1/19,男,6,北京,CN,32
781,2006/7/23,男,5,广东,CN,49
36780,2006/7/10,男,6,广东,CN,48
1359,2010/1/13,男,6,广东,CN,45
29076,2005/1/19,男,5,广东,CN,56
49714,2011/3/30,女,5,CA,US,49
55458,2010/2/12,男,6,广东,CN,30
59905,2011/9/13,男,5,广东,CN,41
28087,2007/2/10,男,6,广东,CN,64
14825,2011/9/21,男,6,湖南,CN,45
20173,2005/1/23,女,6,广东,CN,53
18700,2006/1/15,男,6,广东,CN,43
47040,2013/3/16,男,6,,US,56
5040,2011/2/25,男,6,广东,CN,36
19751,2011/5/12,女,5,CA,US,33
9980,2006/12/6,男,6,广东,CN,47
38079,2005/3/2,男,6,北京,CN,49
38098,2005/3/31,男,6,广东,CN,45
33282,2012/4/9,男,6,北京,CN,51
53999,2007/4/4,男,6,新疆,CN,50
58806,2010/8/8,男,4,,FR,35
18869,2006/6/20,男,5,广东,CN,74
47265,2005/5/27,男,5,广东,CN,39
29997,2008/2/18,男,5,吉林,CN,47
56325,2005/7/24,男,6,广东,CN,44
13606,2010/8/10,男,6,,MX,40
2104,2005/3/20,男,6,广东,CN,47
40556,2010/2/13,男,6,广东,CN,39
11511,2010/5/17,男,6,上海,CN,55
49752,2010/9/18,男,6,0,FR,51
58064,2009/11/1,男,5,广东,CN,47
19497,2009/8/27,男,6,广东,CN,36
21578,2008/9/2,女,6,广东,CN,49
45772,2006/6/5,男,6,广东,CN,57
51134,2011/12/18,男,5,PARIS,FR,54
53729,2008/4/20,男,6,吉林,CN,47
44980,2005/5/1,男,5,新疆,CN,49
11139,2005/4/27,男,6,广东,CN,46
11327,2005/10/12,男,4,CALIFORNIA,US,48
20131,2004/11/23,女,6,广东省,CN,64
47276,2005/5/29,男,6,广东,CN,47
13323,2009/11/13,男,6,湖北省,CN,63
56336,2005/8/2,男,6,北京,CN,49
19460,2008/12/13,男,5,广东,CN,44
15014,2012/1/4,男,5,FL,US,66
21884,2009/5/8,男,6,广东,CN,38
11030,2005/1/20,男,6,广东,CN,38
10164,2007/5/27,男,5,广东,CN,45
2196,2005/5/20,男,6,广东,CN,68
38329,2005/11/17,男,6,广东,CN,65
3092,2008/2/26,男,6,广东,CN,60
31122,2010/12/1,男,5,广东,CN,56
44276,2009/8/1,女,6,黑龙江,CN,40
38451,2007/6/4,男,6,广东,CN,48
30926,2009/3/14,男,5,,CN,33
36573,2006/1/25,女,5,广东,CN,36
17463,2011/1/4,男,6,新疆,CN,27
20144,2004/12/24,女,6,广东省,CN,60
20731,2007/9/17,女,6,广东,CN,56
2129,2005/4/6,男,6,河南省,CN,42
53365,2010/12/17,女,5,新疆,CN,34
3018,2008/2/11,男,5,新疆,CN,47
36912,2006/11/1,男,6,广东,CN,55
1159,2007/5/28,男,6,广东,CN,53
39380,2008/7/21,男,5,广东,CN,32
12218,2009/3/3,男,6,广东,CN,62
38199,2005/6/16,男,6,广东,CN,53
38134,2005/4/17,女,6,广东,CN,40
49346,2010/4/28,男,6,广东,CN,44
46325,2007/11/29,男,5,广东,CN,53
27661,2006/1/16,男,6,广东,CN,44
39773,2012/5/8,女,4,California,US,30
3321,2008/8/31,男,6,北京,CN,39
47224,2005/4/19,男,6,,CN,36
14675,2011/8/20,男,6,北京,CN,47
36635,2006/3/28,男,6,广东,CN,55
20685,2007/7/14,男,6,河南,CN,56
20116,2004/11/20,男,6,广东,CN,37
27657,2006/2/2,男,4,,US,66
30225,2008/6/1,女,6,广东,CN,38
39847,2010/3/10,男,5,广东,CN,47
19134,2007/1/9,女,6,广东,CN,38
30983,2012/10/17,男,6,,FR,41
53954,2006/4/11,男,5,新疆,CN,53
13680,2011/2/22,男,5,ile de france,FR,38
56497,2007/6/17,女,6,广东,CN,46
20401,2005/9/9,女,6,广东,CN,41
23819,2011/9/28,男,6,吉林,CN,50
3110,2008/3/15,男,6,北京,CN,37
23531,2011/5/30,男,6,广东,CN,35
27678,2006/3/2,男,5,广东,CN,44
4581,2010/7/25,男,5,广东,CN,41
3339,2008/8/28,男,6,广东,CN,55
36953,2006/12/7,男,6,广东,CN,40
44217,2010/10/20,男,6,新疆,CN,43
13818,2010/4/25,男,4,广东,CN,54
8608,2005/11/15,男,6,吉林,CN,51
2303,2005/8/30,男,6,广东,CN,50
33645,2012/7/20,女,5,广东,CN,47
27651,2006/1/24,男,6,上海市,CN,44
9874,2006/10/26,男,6,广东,CN,39
50023,2011/1/28,男,6,广东,CN,47
40219,2009/7/9,男,6,广东,CN,45
35876,2006/4/2,男,5,安徽,CN,57
58293,2009/11/2,男,6,广东,CN,42
5737,2011/7/25,男,5,北京,CN,46
39208,2010/8/28,男,4,OSAKAFU,JP,48
13798,2011/6/1,男,6,贵州,CN,46
58411,2009/12/12,,6,SYDNEY,AU,61
13846,2011/8/28,男,6,Osaka,JP,52
27945,2006/10/13,男,6,广东,CN,66
54719,2006/3/11,男,6,广东,CN,67
4234,2009/8/7,男,4,广东,CN,37
13056,2010/5/22,男,6,北京,CN,44
38816,2010/2/19,男,6,上海,CN,41
22490,2009/12/9,男,5,广东,CN,35
47762,2007/9/28,男,6,北京,CN,41
30223,2008/10/12,男,5,北京,CN,47
35584,2007/6/12,男,6,新疆,CN,47
4835,2012/8/22,男,5,KANGAWA,JP,63
38084,2005/3/16,男,6,广东,CN,40
49017,2009/1/17,男,6,北京,CN,42
29375,2005/11/17,男,5,广东,CN,44
46350,2008/8/12,男,5,广东,CN,50
58999,2010/11/10,男,6,广东,CN,61
1294,2009/2/9,男,6,广东,CN,35
728,2006/1/10,男,6,河南,CN,51
55509,2010/6/9,男,6,广东,CN,49
49453,2010/2/26,男,4,新疆,CN,62
31394,2010/5/31,女,5,广东,CN,40
35877,2006/3/31,男,5,吉林,CN,44
59627,2012/3/17,女,6,吉林省,CN,60
23026,2010/12/16,男,5,北京,CN,49
9716,2006/6/29,男,6,广东,CN,39
21656,2009/1/15,男,6,吉林,CN,45
4004,2009/6/10,男,6,北京,CN,48
18838,2006/5/4,男,5,广东,CN,41
35464,2009/1/20,男,6,辽宁,CN,51
8434,2005/9/9,男,6,辽宁,CN,43
4446,2010/2/23,男,5,广东,CN,40
54,2010/2/23,男,6,广东,CN,49
49682,2010/9/15,男,6,广州,CN,45
38902,2007/12/28,男,5,广东,CN,40
18679,2005/12/21,女,5,广东,CN,41
18811,2006/4/6,男,6,广东,CN,53
42861,2012/9/2,男,6,广东,CN,55
22286,2009/12/5,男,5,广东,CN,44
23172,2011/5/27,男,4,TOKYO-TO,JP,46
23537,2011/10/17,男,6,辽宁,CN,38
12880,2009/12/15,男,6,北京,CN,44
28325,2008/7/22,男,6,广东,CN,38
857,2006/10/1,男,6,广东,CN,45
14124,2012/6/12,男,6,SHIZUOKA-KEN,JP,57
55273,2007/4/3,男,5,广东,CN,38
26641,2006/3/4,男,6,辽宁,CN,46
62340,2010/10/21,男,6,新疆,CN,47
59295,2011/5/8,男,4,,FR,48
20660,2007/6/11,男,5,广东,CN,48
55480,2010/4/30,男,6,广东,CN,44
59920,2011/9/18,男,6,贵州,CN,41
1069,2007/2/10,男,5,广东,CN,37
54078,2007/6/21,男,6,广东,CN,53
40506,2010/7/28,男,6,广东,CN,40
13936,2011/5/11,男,5,HYOGO,JP,46
35484,2005/11/2,男,5,,CN,40
35960,2008/2/26,男,5,新疆,CN,48
12353,2008/5/19,男,5,广东,CN,47
20117,2004/11/23,男,6,广东省,CN,43
26045,2011/7/11,男,6,辽宁,CN,37
28722,2012/4/18,男,5,上海,CN,55
5039,2011/1/19,男,6,广东,CN,46
23074,2011/12/5,男,5,OKAYAMA,JP,35
47095,2004/12/2,男,4,广东,CN,
9901,2006/12/6,男,4,广东,CN,46
28035,2006/4/23,女,6,CA,US,41
48251,2009/1/17,男,5,HYOGO,JP,35
20119,2004/11/26,男,6,广东省,CN,37
62776,2006/4/3,男,6,广东省,CN,45
9635,2006/4/16,男,6,广东,CN,36
30360,2008/8/20,男,6,北京,CN,36
60904,2012/8/28,男,5,上海,CN,54
15271,2011/12/10,男,5,广东,CN,36
35677,2007/8/8,男,6,吉林,CN,51
55032,2006/11/8,男,6,广东,CN,66
8631,2007/5/29,男,6,北京,CN,37
44368,2010/10/2,男,5,新疆,CN,51
13156,2010/6/25,男,5,LIMBURG,NL,45
17660,2006/7/23,男,5,上海,CN,54
13485,2009/12/12,男,6,北京,CN,46
12275,2008/8/8,男,5,新疆,CN,38
19306,2007/4/25,男,6,广东省,CN,37
29309,2005/9/4,男,5,广东,CN,62
13084,2009/6/17,男,4,广东,CN,43
24151,2011/11/10,男,4,北京,CN,41
33114,2012/1/16,男,5,NW,US,57
1816,2012/10/12,男,4,California,US,61
45720,2006/5/18,男,6,广东,CN,57
21127,2008/2/24,男,6,广东,CN,46
27683,2006/1/25,男,6,,CN,39
5902,2012/9/8,女,4,广西,CA,48
3012,2008/2/14,男,5,河北省,CN,47
30596,2009/1/5,男,5,广东,CN,35
29277,2005/8/11,男,6,广东,CN,52
13108,2011/4/3,男,5,广东,CN,46
61975,2012/7/15,男,4,辽宁,CN,34
14993,2012/2/15,男,5,浙江,CN,38
57696,2009/7/1,女,5,广东,CN,48
54913,2006/9/18,男,6,广东,CN,38
8870,2006/7/21,男,5,新疆,CN,45
37041,2007/2/1,男,5,广东,CN,36
57507,2009/12/26,男,6,广东,CN,42
56362,2005/8/15,男,6,广东,CN,46
48257,2006/4/14,男,6,广东,CN,51
48173,2006/1/30,男,6,辽宁,CN,50
29181,2005/3/27,男,6,河南,CN,42
26942,2006/3/27,男,5,新疆,CN,34
10967,2004/11/1,男,5,广东省,CN,48
40676,2011/1/3,女,5,重庆,CN,42
29224,2005/6/22,男,6,Hong Kong,HK,53
38275,2005/9/3,男,6,广东,CN,48
59483,2011/7/1,男,4,CA,US,47
1843,2012/10/13,男,5,广东,CN,63
18817,2006/4/28,男,5,广东,CN,42
6031,2012/1/14,男,6,河南,CN,58
18830,2006/5/5,男,6,广东,CN,45
38123,2005/4/26,男,6,,CN,59
57758,2010/7/19,男,6,河南,CN,55
2427,2007/5/16,男,5,广东,CN,60
1231,2007/10/17,男,6,广东,CN,46
45721,2006/5/19,男,6,广东,CN,50
18013,2006/4/13,女,6,新疆,CN,52
53417,2011/2/25,男,6,广东,CN,44
56776,2007/10/30,女,5,广东,CN,48
47838,2007/10/31,男,6,辽宁,CN,51
28345,2009/1/6,男,6,广西,CN,41
8576,2007/11/16,男,6,辽宁,CN,39
2561,2007/6/22,男,6,广东,CN,41
50183,2011/3/7,男,6,广东,CN,43
3003,2012/6/2,男,4,AU,AU,43
56144,2005/2/8,男,6,广东,CN,45
22702,2010/7/1,男,6,辽宁,CN,46
44761,2007/6/6,女,6,辽宁,CN,50
3210,2008/9/23,男,5,广东,CN,35
2110,2005/3/16,男,5,北京,CN,41
20760,2007/8/31,男,6,广东,CN,44
29081,2005/1/28,男,5,广东,CN,47
49340,2009/9/3,男,6,广东,CN,62
55325,2007/7/3,男,6,北京,CN,69
11000,2004/12/2,男,5,广东,CN,37
40664,2010/6/14,男,5,上海,CN,61
32414,2011/9/1,男,5,Toyama-ken,JP,58
55873,2012/8/26,女,5,广东,CN,40
8851,2006/4/19,男,5,新疆,CN,52
23223,2011/3/21,男,4,浙江,CN,53
14870,2011/9/18,男,6,上海,CN,45
26803,2008/3/21,男,6,辽宁,CN,52
29103,2005/2/26,男,6,湖北,CN,55
13204,2009/8/27,男,6,广东,CN,32
53801,2005/9/9,男,6,北京,CN,46
17530,2011/4/9,男,5,内蒙古,CN,46
11110,2005/4/9,男,6,广东,CN,41
2352,2005/10/7,男,6,广东,CN,39
21650,2008/8/28,男,6,广东,CN,57
8497,2006/3/17,男,6,辽宁,CN,40
13067,2009/2/22,男,5,北京,CN,47
44923,2006/3/28,男,4,新疆,CN,41
48328,2008/9/23,男,5,CALIFORNIA,US,50
6905,2013/1/20,男,6,黑龙江省,CN,47
20962,2007/11/17,男,5,贵州,CN,37
35328,2011/6/2,男,6,北京,CN,52
35276,2010/7/21,男,5,新疆,CN,40
15247,2012/12/7,男,6,北京,CN,40
26447,2010/5/27,男,5,新疆,CN,41
39736,2008/10/20,男,4,,US,55
47894,2007/12/3,女,5,北京,CN,40
4868,2010/9/25,女,5,湖南,CN,53
44090,2011/11/25,男,6,广东,CN,54
24598,2012/6/23,男,4,广东省,CN,49
29324,2005/9/8,男,5,广东,CN,38
25763,2010/11/10,男,6,河南,CN,46
56156,2005/2/28,男,5,上海,CN,37
28175,2007/4/17,男,6,广东,CN,47
13295,2009/9/13,男,6,湖北省,CN,40
4175,2010/1/2,男,5,广东,CN,49
17306,2009/8/26,男,5,黑龙江,CN,70
22092,2009/7/15,男,6,广东,CN,60
19379,2007/6/12,男,6,广东,CN,46
25883,2010/4/1,男,5,新疆,CN,58
53513,2005/9/20,男,6,辽宁,CN,50
56202,2005/4/6,男,6,湖南,CN,47
8925,2008/3/13,男,6,福建,CN,46
56861,2008/1/10,男,6,广东,CN,54
3501,2008/10/16,男,6,广东,CN,40
7660,2009/10/20,男,4,广东省,CN,54
26796,2008/3/3,男,5,吉林,CN,57
59631,2011/8/6,男,5,黑龙江,CN,45
55240,2007/4/19,男,6,上海,CN,42
47657,2007/8/7,男,5,湖北,CN,53
12656,2008/11/8,女,5,广东,CN,33
34530,2010/9/20,男,6,吉林,CN,44
49855,2010/10/14,女,6,广东,CN,44
56163,2005/3/5,女,5,广东,CN,39
30116,2008/3/27,女,4,广东,CN,55
2015,2004/11/12,男,6,,CN,39
37142,2007/5/10,男,6,上海,CN,49
26580,2009/3/8,男,5,辽宁,CN,50
10105,2007/3/12,男,6,广东,CN,38
45796,2006/5/24,男,4,广东,CN,41
30865,2009/2/1,男,6,新疆,CN,53
59678,2011/8/19,女,6,北京,CN,28
915,2006/11/10,男,5,北京,CN,39
30355,2008/6/16,男,6,,CN,56
1260,2008/3/1,男,5,广东,CN,55
29550,2007/6/17,男,6,北京,CN,47
53079,2012/9/15,男,6,新疆,CN,47
57868,2009/7/20,女,5,广东,CN,49
62499,2005/11/2,男,6,辽宁,CN,42
19538,2007/9/17,男,6,广东省,CN,39
3893,2006/12/25,男,5,新疆,CN,37
55820,2012/6/26,男,5,上海,CN,47
33829,2012/10/20,女,5,,FR,43
41140,2011/2/25,男,6,广东,CN,56
41700,2012/4/18,男,5,北京,CN,48
55140,2007/2/26,男,6,广东,CN,41
21169,2008/5/7,男,5,广东,CN,56
18371,2011/5/20,男,5,广东,CN,37
10111,2007/3/12,男,5,广东,CN,53
22929,2010/10/17,男,5,广东,CN,52
59441,2011/7/2,男,5,aubervilliers,FR,45
12479,2008/7/21,男,5,广东,CN,54
39109,2008/6/1,男,6,辽宁,CN,60
29044,2004/11/4,女,5,北京,CN,46
15284,2012/2/22,男,4,MARSEILLE,FR,43
2047,2005/1/4,女,4,北京,CN,34
2051,2005/1/18,男,5,广东,CN,38
35700,2006/10/25,男,6,吉林,CN,59
53997,2007/3/14,男,6,新疆,CN,57
56624,2007/7/1,男,5,广东,CN,49
29198,2005/6/1,男,5,广东,CN,49
9658,2006/5/23,男,6,广东,CN,40
14574,2011/7/3,男,4,广东,CN,31
60068,2011/12/25,男,6,北京,CN,48
3881,2010/3/25,男,5,广东,CN,33
27827,2006/6/1,男,6,北京,CN,38
10329,2009/12/20,男,4,,AU,42
999,2007/1/14,男,4,california,US,38
2115,2005/3/17,男,6,广东,CN,54
47309,2005/7/8,男,6,广东,CN,35
20305,2005/5/23,男,5,广东,CN,57
62894,2006/6/5,男,6,新疆,CN,45
40362,2009/11/11,男,5,广东,CN,34
29121,2005/3/19,男,5,广东,CN,41
52991,2012/3/24,男,6,北京,CN,46
26669,2005/12/22,男,5,吉林,CN,47
44965,2006/6/12,男,5,新疆,CN,40
56097,2004/11/11,男,5,广东省,CN,47
40749,2010/6/14,男,6,广东省,CN,35
11607,2007/9/24,男,6,北京,CN,47
4317,2009/9/8,男,5,广东,CN,48
19249,2007/3/1,男,4,N.S.W,AU,40
47093,2004/11/11,男,6,广东省,CN,41
13888,2010/11/9,男,6,北京,CN,54
20402,2005/8/28,男,6,广东,CN,40
5910,2012/11/11,男,5,Toyama-ken,JP,61
30564,2008/10/9,女,4,CA,US,54
30096,2006/3/30,男,6,新疆,CN,50
20157,2004/12/22,男,6,北京,CN,62
30771,2008/11/6,男,4,广东,CN,38
31028,2009/4/18,女,4,新疆,CN,32
31495,2010/1/2,男,4,北京,CN,40
14282,2011/7/10,男,5,湖南,CN,34
14969,2012/4/1,男,4,KANAGAWA-KEN,JP,51
9594,2006/3/23,男,6,广东,CN,47
21740,2010/3/1,男,4,.,JP,46
59729,2012/4/1,男,5,北京,CN,35
46647,2011/9/13,男,4,新疆,CN,36
57726,2008/9/20,男,6,广东,CN,30
11321,2005/9/23,男,5,广东,CN,53
59560,2011/4/28,男,5,广东,CN,47
56492,2007/7/1,男,5,云南,CN,49
18022,2006/5/9,男,6,.北京,CN,50
11183,2005/5/29,男,6,广东,CN,43
11243,2005/7/19,男,5,广东,CN,39
11191,2005/6/12,男,4,广东,CN,37
55420,2009/7/31,男,4,广东省,CN,36
61982,2011/12/1,男,5,辽宁,CN,48
20557,2007/5/8,男,6,广西,CN,34
8692,2005/12/18,男,5,辽宁,CN,42
37007,2007/1/24,男,5,北京,CN,54
557,2005/12/25,男,6,广东,CN,40
53184,2010/3/7,男,5,广东,CN,47
23126,2011/1/10,女,4,广东,FR,40
4672,2010/8/19,男,5,,CN,54
50244,2011/4/20,男,6,上海,CN,55
12524,2009/9/5,男,6,,US,61
9569,2006/3/6,男,5,广东,CN,44
38541,2006/3/28,男,5,西安,CN,43
45995,2006/11/23,男,6,广东,CN,57
8525,2006/7/31,女,4,上海,CN,43
9611,2006/4/15,男,5,广东,CN,48
54785,2006/6/5,男,6,广东,CN,35
5903,2012/2/20,男,6,广东,CN,45
15475,2012/4/28,男,5,广东,CN,40
18844,2006/5/26,男,4,北京,CN,40
5167,2012/5/26,男,5,NARA,JP,48
19179,2007/1/15,男,5,广东,CN,39
15802,2012/7/27,男,6,NEVADA,US,61
40135,2009/3/17,男,4,NSW,AU,54
42700,2012/7/11,男,6,云南,CN,48
34525,2009/12/31,女,6,广东,CN,34
57559,2008/9/2,男,6,广东,CN,53
16715,2010/3/27,男,4,吉林省,CN,54
40365,2009/10/24,男,5,,HK,56
43846,2012/4/27,男,5,Gyeonggi-do,KR,55
54645,2006/2/13,男,5,广东,CN,45
56118,2005/1/11,男,5,广东省,CN,45
45566,2005/12/13,男,5,广东,CN,45
38361,2007/4/2,男,4,福建,CN,68
156,2011/1/13,男,6,广东,CN,37
29824,2007/10/30,女,4,广东,CN,49
2149,2005/4/16,男,5,广东,CN,42
8678,2007/10/19,男,6,辽宁,CN,61
53581,2006/1/19,男,5,北京,CN,40
30326,2008/8/6,男,5,辽宁,CN,49
43637,2009/9/1,女,6,辽宁,CN,57
55499,2010/7/18,男,5,广东省,CN,35
49298,2009/11/18,男,6,北京,CN,41
42157,2011/12/13,男,6,北京,CN,51
10283,2009/1/14,男,5,广东,CN,33
19508,2009/10/21,男,5,河南,CN,36
55130,2007/2/1,男,4,广东,CN,43
29440,2007/6/1,男,6,辽宁,CN,47
40177,2010/8/18,男,6,广东,CN,39
49867,2010/11/28,男,5,辽宁,CN,53
38621,2007/10/25,女,5,广东,CN,42
40322,2009/9/18,男,4,广东,CN,38
58432,2010/2/20,女,5,北京,CN,43
42627,2012/4/24,男,5,92300,FR,35
35314,2010/10/17,男,5,新疆,CN,46
57188,2007/7/17,男,6,黑龙江,CN,41
17102,2012/3/3,男,5,辽宁,CN,51
62873,2006/4/11,男,5,浙江,CN,42
29484,2008/12/21,男,4,CA,US,54
29166,2005/5/5,男,6,广东,CN,43
36116,2010/11/29,女,5,辽宁,CN,47
60503,2012/5/20,男,5,广东,CN,39
18790,2006/3/9,男,5,广东,CN,34
11105,2005/3/31,男,4,广东省,US,66
41035,2010/12/13,男,4,上海,CN,39
21151,2008/3/25,男,6,广东,CN,61
47964,2007/9/24,男,6,上海,CN,50
46252,2007/6/17,女,6,广东省,CN,50
39255,2008/10/13,男,4,,US,57
44810,2006/1/15,男,5,上海,CN,54
47782,2007/11/6,男,5,湖南,CN,48
39078,2008/3/31,男,5,广东,CN,47
11878,2007/12/10,男,4,AUS,AU,48
