会员卡号,积分兑换次数,总精英积分,总基本积分,年平均基本积分,BEGIN_TO_FIRST,总累计积分
2010,2,17864,156294,19536.75,2,234787
38290,14,14132,148405,18550.625,1,189498
57622,2,9444,157540,19692.5,115,166984
2001,2,13956,181452,22681.5,6,195408
60311,0,3490,135157,16894.625,21,138647
36030,7,17477,144647,18080.875,2,214323
35766,9,14903,138406,17300.75,5,155309
33319,12,7011,128965,16120.625,0,143172
55096,13,17048,139459,17432.375,2,213043
30681,5,11957,168825,21103.125,19,220976
17837,6,15165,137685,17210.625,6,154547
3872,0,10849,138314,17289.25,12,150939
56201,8,25348,140996,17624.5,5,181374
4468,0,0,151293,18911.625,0,151293
32602,3,2517,160926,20115.75,15,164243
11277,7,28214,138626,17328.25,3,172256
45117,3,19090,126239,15779.875,44,162728
19051,5,12584,146519,18314.875,4,159103
19371,7,8992,164969,20621.125,70,174849
60020,0,17442,116312,14539,9,133754
2007,15,26122,151345,18918.125,3,182967
56093,6,13946,141563,17695.375,39,156664
62762,2,22178,145214,18151.75,24,258114
49215,3,16850,126501,15812.625,35,295393
20362,11,17086,139199,17399.875,2,165577
38022,9,16616,146797,18349.625,18,200588
47179,2,27886,124687,15585.875,10,152573
17903,5,10168,134746,16843.25,2,144914
45581,12,16214,145852,18231.5,19,216228
47255,1,15295,171324,21415.5,101,186619
876,0,15811,149093,18636.625,1,165704
6088,0,14175,137293,17161.625,17,154356
50931,2,18099,162084,27014,5,180183
38443,1,16271,139155,17394.375,3,174814
8850,2,11301,128038,16004.75,65,155485
59307,0,3204,119305,14913.125,56,122509
20121,17,24436,130675,16334.375,4,242611
53451,1,16236,112582,14072.75,324,153208
59669,2,11590,167720,20965,110,179310
49369,2,5532,105572,13196.5,13,111104
52814,0,18561,122732,15341.5,13,141293
57377,10,15570,139756,17469.5,2,155326
31219,9,13102,122805,15350.625,4,181303
29392,0,0,139379,27875.8,0,139379
12578,9,10447,128687,16085.875,9,142516
19439,3,12765,136565,17070.625,2,194017
29034,12,20849,146964,18370.5,1,192071
2012,15,15306,129600,16200,4,153682
47194,3,19673,114508,14313.5,6,170970
26406,13,3939,138229,17278.625,5,158587
56437,6,13247,123103,15387.875,20,160671
59509,1,15245,123892,15486.5,0,144137
13061,3,0,81412,10176.5,102,81412
12155,13,23815,123415,15426.875,13,181078
26960,1,8591,126790,15848.75,8,144550
1123,1,1409,158573,19821.625,1,160482
12536,5,8766,157809,19726.125,43,166575
43627,0,14885,123833,15479.125,15,141978
37021,5,13190,125625,15703.125,12,141315
40792,7,13903,135116,16889.5,19,198691
22418,2,9962,150754,18844.25,13,160716
27900,0,0,127925,15990.625,24,161225
21245,10,15878,127764,15970.5,11,198202
2006,3,10970,141907,17738.375,24,189684
11028,14,20903,117882,14735.25,18,155391
62642,0,11173,120590,15073.75,9,138945
29051,12,17781,124838,15604.75,5,221619
19073,1,18836,120154,15019.25,16,144290
58686,7,11261,123331,15416.375,13,137940
781,11,16132,133352,16669,3,164372
36780,4,21639,105442,13180.25,10,142631
1359,6,22458,92686,11585.75,12,169772
29076,1,15787,121404,15175.5,2,144683
49714,3,3488,153078,19134.75,5,156566
55458,5,20033,116162,14520.25,2,136195
59905,0,6628,122401,15300.125,9,129029
28087,0,11170,126221,15777.625,31,200391
14825,4,11090,120818,15102.25,29,132796
20173,6,13025,142164,17770.5,1,156893
18700,5,23452,109292,13661.5,10,133052
47040,0,18667,147158,29431.6,43,165825
5040,3,10397,142746,17843.25,48,157710
19751,3,18224,150850,18856.25,71,169574
9980,10,12655,120754,15094.25,26,199762
38079,0,10238,109266,13658.25,35,123410
38098,6,17334,117613,14701.625,6,162718
33282,2,11587,111651,13956.375,0,125014
53999,7,6524,115352,14419,39,127625
58806,2,3146,148856,18607,165,152002
18869,0,3786,119100,14887.5,3,125550
47265,22,16111,118543,14817.875,8,147720
29997,0,10405,114445,14305.625,7,125738
56325,8,23382,116532,14566.5,10,148129
13606,0,13956,97700,12212.5,4,113656
2104,0,14827,118790,14848.75,4,134417
40556,3,13204,121760,15220,162,136638
11511,5,11288,122218,15277.25,5,137008
49752,0,7115,145209,18151.125,53,152324
58064,10,8306,106565,13320.625,13,121759
19497,12,22797,104791,13098.875,9,144381
21578,16,10001,119084,14885.5,3,138499
45772,0,15247,111196,13899.5,210,148181
51134,0,3745,101676,12709.5,13,105421
53729,3,20938,109087,13635.875,9,154907
44980,0,6690,91284,11410.5,6,97974
11139,3,11290,119502,14937.75,11,133792
11327,0,10567,111936,13992,204,122503
20131,11,20233,109052,13631.5,14,130785
47276,5,14255,119810,14976.25,3,140265
13323,2,15000,117425,14678.125,12,204327
56336,3,15937,112943,14117.875,0,148513
19460,0,11588,118977,14872.125,2,136156
15014,1,5309,139503,17437.875,76,144812
21884,13,13318,135403,16925.375,31,176266
11030,3,15182,109604,13700.5,1,145486
10164,4,6976,135848,16981,7,142824
2196,0,14519,115890,14486.25,8,130909
38329,5,13977,119569,14946.125,8,133546
3092,2,7043,113508,14188.5,31,140439
31122,1,5266,102699,12837.375,7,107965
44276,5,10978,117216,14652,5,148754
38451,2,18922,92480,11560,5,116402
30926,4,7761,101068,12633.5,3,108829
36573,0,7368,106669,13333.625,17,122962
17463,10,26718,94410,11801.25,221,122797
20144,0,6021,120926,15115.75,10,127447
20731,3,11713,112726,14090.75,6,136439
2129,9,25611,113254,14156.75,9,138865
53365,0,6941,97369,12171.125,20,106281
3018,2,18496,93862,11732.75,6,128372
36912,6,11783,101127,12640.875,3,115574
1159,1,23149,103985,12998.125,20,134862
39380,9,15349,111850,13981.25,12,128699
12218,1,6905,111158,13894.75,20,122727
38199,7,9585,100577,12572.125,5,110162
38134,1,20934,138543,17317.875,25,159477
49346,8,7034,114398,14299.75,25,124552
46325,3,7932,136783,17097.875,7,162643
27661,2,12628,115233,14404.125,0,142357
39773,6,0,140743,17592.875,4,140743
3321,0,14188,114305,14288.125,2,142040
47224,10,15260,113153,14144.125,0,158027
14675,0,18124,94225,11778.125,82,126562
36635,0,11812,110357,13794.625,1,124745
20685,9,12572,111195,13899.375,9,124736
20116,8,15977,92952,11619,3,112666
27657,4,7590,131771,16471.375,70,139361
30225,2,14185,102205,12775.625,2,118690
39847,5,9808,103643,12955.375,95,120635
19134,6,11936,110329,13791.125,3,122265
30983,0,9963,135718,22619.66667,0,145681
53954,0,5090,104423,13052.875,14,113209
13680,0,4419,94171,11771.375,21,98590
56497,0,16346,116307,14538.375,10,132653
20401,14,8168,111646,13955.75,23,134430
23819,4,10871,106270,13283.75,3,124270
3110,7,17811,111215,13901.875,6,131026
23531,3,9736,107748,13468.5,7,127254
27678,11,5157,106246,13280.75,9,114233
4581,2,7078,92929,11616.125,0,118004
3339,0,19616,120058,15007.25,9,139674
36953,7,20711,90725,11340.625,10,128224
44217,1,10604,96588,12073.5,249,114036
13818,3,7127,109337,13667.125,4,121166
8608,3,11783,102013,12751.625,3,121796
2303,5,10512,107748,13468.5,24,118260
33645,0,5609,122831,17547.28571,0,128940
27651,12,17037,100358,12544.75,3,133895
9874,11,12813,98544,12318,18,111357
50023,4,17407,95164,11895.5,1,115155
40219,8,11300,109194,13649.25,4,122278
35876,5,5228,106360,13295,10,112088
58293,2,16406,87984,10998,4,110203
5737,8,7902,110135,13766.875,53,136674
39208,8,5222,115183,14397.875,19,127389
13798,2,11154,103492,12936.5,1,119626
58411,2,23406,135654,16956.75,42,159060
13846,3,11385,122774,15346.75,16,160863
27945,0,11892,121499,15187.375,124,133391
54719,5,10923,107284,13410.5,1,118207
4234,3,11263,108443,13555.375,5,125094
13056,8,17088,105733,13216.625,3,127374
38816,2,9021,100418,12552.25,2,112327
22490,10,7495,101037,12629.625,1,114009
47762,3,13289,102265,12783.125,4,116267
30223,1,11218,92708,11588.5,9,121394
35584,2,9004,96919,12114.875,18,109619
4835,5,6160,117052,16721.71429,8,150496
38084,0,11201,103735,12966.875,7,116936
49017,6,16377,103214,12901.75,10,132891
29375,2,6035,98689,12336.125,31,154953
46350,1,4447,99653,12456.625,4,108555
58999,2,11210,108062,13507.75,95,120960
1294,1,14348,108717,13589.625,1,136997
728,4,9713,99324,12415.5,0,114037
55509,5,7696,130108,16263.5,11,137804
49453,0,3625,100770,12596.25,10,108091
31394,8,5240,120053,15006.625,4,154506
35877,4,6316,87887,10985.875,6,96122
59627,0,5960,87257,10907.125,25,93217
23026,0,7481,109523,13690.375,39,120524
9716,8,5762,97866,12233.25,3,115208
21656,2,18843,111270,13908.75,2,135113
4004,8,12757,101676,12709.5,7,128331
18838,1,13724,96332,12041.5,0,129028
35464,17,8626,98955,12369.375,46,109357
8434,6,11855,90928,11366,1,109559
4446,4,15595,90486,11310.75,4,106081
54,6,11507,104436,13054.5,3,195726
49682,2,15512,101488,12686,20,123198
38902,0,5457,77236,9654.5,11,82693
18679,0,5195,115157,14394.625,27,120352
18811,6,15948,100494,12561.75,3,131242
42861,0,10603,105657,15093.85714,10,116260
22286,12,5075,101119,12639.875,0,253332
23172,0,0,101070,12633.75,3,108694
23537,4,9611,99959,12494.875,11,109570
12880,0,7136,98105,12263.125,11,105241
28325,11,14225,100019,12502.375,0,190868
857,3,4973,93504,11688,5,125963
14124,1,13631,83257,10407.125,0,111918
55273,3,8725,93322,11665.25,18,104047
26641,4,9517,99575,12446.875,5,125917
62340,0,2436,97678,12209.75,15,104698
59295,3,3446,100143,12517.875,11,103589
20660,0,11864,96769,12096.125,41,130961
55480,0,7423,100971,12621.375,8,110170
59920,0,6647,95805,11975.625,1,110980
1069,0,8962,98556,12319.5,4,107518
54078,4,6843,101229,12653.625,53,113717
40506,0,8790,99625,12453.125,28,108415
13936,0,5595,94800,11850,2,118323
35484,4,14395,83991,10498.875,5,98386
35960,2,9675,85509,10688.625,18,103324
12353,10,4285,102813,12851.625,5,107098
20117,6,6601,71431,8928.875,2,83578
26045,9,7653,94014,11751.75,12,102555
28722,2,13209,89265,11158.125,28,102474
5039,5,17719,101692,12711.5,4,135829
23074,0,4389,109318,13664.75,4,125667
47095,4,11159,123044,15380.5,13,134703
9901,7,10907,110218,13777.25,10,179174
28035,1,23154,84105,10513.125,38,107759
48251,0,2761,80771,10096.375,15,92496
20119,0,9340,97510,12188.75,2,113250
62776,0,7560,96177,12022.125,2,103737
9635,4,17237,92002,11500.25,3,125292
30360,0,6567,101011,12626.375,1,107578
60904,0,14015,93930,13418.57143,16,107945
15271,2,9045,93346,11668.25,30,102891
35677,2,2932,95797,11974.625,7,98729
55032,7,7483,100500,12562.5,2,108871
8631,2,12111,99568,12446,18,111679
44368,0,2902,95644,11955.5,8,108013
13156,4,1409,123570,15446.25,1,128179
17660,3,5397,93737,11717.125,6,101636
13485,0,18888,99183,12397.875,16,118071
12275,0,5194,87482,10935.25,37,95632
19306,2,15026,91408,11426,6,108302
29309,5,7389,95650,11956.25,27,106539
13084,2,16124,94381,11797.625,249,110505
24151,0,2478,101629,12703.625,38,109303
33114,6,2075,93334,11666.75,6,95409
1816,2,11153,119314,19885.66667,76,130467
45720,0,6597,96188,12023.5,12,103673
21127,0,6232,89221,11152.625,1,117399
27683,0,17385,83123,10390.375,6,105816
5902,0,4108,74222,10603.14286,0,78330
3012,4,5091,100758,12594.75,6,105849
30596,8,6287,85419,10677.375,4,105531
29277,2,13317,82200,10275,11,101689
13108,1,14051,88107,11013.375,6,102158
61975,4,11775,87404,12486.28571,2,99179
14993,0,7587,109666,13708.25,19,118753
57696,9,3488,119401,14925.125,66,122889
54913,0,4718,91914,11489.25,0,97520
8870,0,0,91469,11433.625,22,92357
37041,3,8070,92928,11616,13,102498
57507,0,9397,74123,9265.375,242,83520
56362,4,20344,81557,10194.625,4,125285
48257,3,7126,100941,12617.625,12,108067
48173,6,8810,96406,12050.75,5,117216
29181,6,13845,97927,12240.875,2,118238
26942,1,3464,80692,10086.5,16,84156
10967,2,11485,82099,10262.375,9,106832
40676,3,2526,97667,12208.375,10,100193
29224,9,9538,88967,11120.875,1,109371
38275,2,11711,93241,11655.125,11,104952
59483,0,8720,74436,9304.5,217,83156
1843,4,5433,104858,17476.33333,13,121007
18817,5,4259,85933,10741.625,0,137760
6031,0,13007,97503,12187.875,50,115510
18830,6,13481,85578,10697.25,0,102908
38123,0,7496,96888,12111,14,105272
57758,2,9973,94883,11860.375,15,113020
2427,0,6590,91673,11459.125,34,100927
1231,4,11862,79558,9944.75,17,105830
45721,0,5247,92692,11586.5,5,97939
18013,0,5613,85695,10711.875,14,95764
53417,0,10879,98015,12251.875,0,126073
56776,3,6253,81919,10239.875,11,88172
47838,0,4815,92714,11589.25,5,98417
28345,7,15760,109142,13642.75,0,168338
8576,0,11623,90119,11264.875,46,107630
2561,4,8563,90830,11353.75,6,145838
50183,5,15065,78178,9772.25,16,162307
3003,0,4520,67839,8479.875,0,72359
56144,0,5720,96302,12037.75,111,102422
22702,0,10490,91797,11474.625,44,132854
44761,10,13555,91920,11490,7,111475
3210,2,7365,96662,12082.75,10,115313
2110,0,2538,93889,11736.125,20,96427
20760,9,6084,84774,10596.75,2,93358
29081,2,7277,84903,10612.875,4,99429
49340,0,5177,90474,11309.25,11,102753
55325,2,4491,94452,11806.5,17,127594
11000,4,12600,85900,10737.5,45,108476
40664,3,5734,82657,10332.125,4,92831
32414,0,4180,48301,6037.625,4,52481
55873,0,9811,86881,12411.57143,28,104692
8851,10,7504,82076,10259.5,26,93650
23223,0,2846,68699,8587.375,73,71545
14870,0,11811,81595,10199.375,6,100182
26803,9,14679,93277,11659.625,11,141476
29103,15,10854,89867,11233.375,24,108226
13204,14,11494,87858,10982.25,24,105795
53801,4,13103,79180,9897.5,2,104283
17530,3,3830,74490,9311.25,4,82194
11110,5,7551,84412,10551.5,0,91963
2352,2,10992,84438,10554.75,2,188675
21650,0,11176,87591,10948.875,25,100986
8497,14,12628,74038,9254.75,17,111094
13067,4,6449,86082,10760.25,6,92531
44923,2,8313,82745,10343.125,11,95493
48328,2,14649,77672,9709,117,92321
6905,1,14295,98214,19642.8,0,112509
20962,6,2950,85820,10727.5,8,88770
35328,2,4632,74959,9369.875,5,79591
35276,0,6701,87642,10955.25,31,103579
15247,0,26052,100289,16714.83333,78,132586
26447,6,8566,83860,10482.5,3,98390
39736,1,0,55824,6978,15,55824
47894,3,10939,88543,11067.875,1,101482
4868,1,13211,91748,11468.5,18,104959
44090,3,11588,85982,10747.75,14,110860
24598,0,3610,89846,11230.75,21,102118
29324,6,10898,91375,11421.875,2,104673
25763,5,12031,91953,11494.125,5,109160
56156,5,9520,85820,10727.5,12,103081
28175,5,7741,90119,11264.875,31,98748
13295,8,12686,95675,11959.375,1,126539
4175,0,7447,87045,10880.625,0,97082
17306,6,2674,96739,12092.375,16,101413
22092,3,5388,81868,10233.5,23,91473
19379,3,13010,90295,11286.875,25,103575
25883,10,4280,86552,10819,17,92332
53513,15,2708,87601,10950.125,0,92085
56202,2,5126,90130,11266.25,6,95256
8925,0,2008,80527,10065.875,27,83035
56861,4,6191,85314,10664.25,24,95681
3501,3,9657,88355,11044.375,1,98012
7660,5,13286,76073,9509.125,10,95974
26796,3,15115,88739,11092.375,24,116742
59631,1,3577,93487,11685.875,6,97064
55240,4,12765,83896,10487,5,98661
47657,0,4667,92162,11520.25,166,99217
12656,0,3930,88144,11018,4,92074
34530,0,10507,89685,11210.625,106,102737
49855,5,9121,83278,10409.75,13,103944
56163,8,5670,87635,10954.375,3,132389
30116,5,2576,85855,10731.875,17,112148
2015,7,4468,89939,11242.375,24,94407
37142,1,13556,77910,9738.75,12,93384
26580,0,6756,85125,10640.625,0,94769
10105,8,5427,97732,12216.5,1,118859
45796,1,5282,106109,13263.625,114,111691
30865,5,0,87291,10911.375,11,90987
59678,0,12014,89477,11184.625,3,103704
915,1,3959,84754,10594.25,15,93153
30355,7,10877,90777,11347.125,23,101654
1260,7,11157,84523,10565.375,3,95680
29550,1,5428,82431,10303.875,6,87859
53079,3,8479,93169,13309.85714,0,111951
57868,1,2686,87570,10946.25,92,92776
62499,2,9237,90524,11315.5,26,99761
19538,5,8796,86912,10864,4,175628
3893,0,3600,78605,9825.625,1,84879
55820,0,7591,85187,10648.375,3,93666
33829,0,6171,100383,16730.5,1,106554
41140,3,6145,85121,10640.125,0,95706
41700,0,2460,88829,11103.625,20,91289
55140,0,9691,71089,8886.125,45,83722
21169,0,10102,79457,9932.125,15,89559
18371,7,6685,84783,10597.875,29,94736
10111,0,7177,76050,9506.25,10,83227
22929,1,6604,84262,10532.75,12,93530
59441,2,2996,68432,8554,2,71428
12479,6,4106,84166,10520.75,17,100622
39109,0,10024,79135,9891.875,1,89159
29044,4,6124,82097,10262.125,0,107309
15284,1,2990,84692,10586.5,21,87682
2047,3,9062,91750,11468.75,3,108712
2051,2,8121,87816,10977,2,97837
35700,1,8769,80399,10049.875,5,89168
53997,0,9615,76505,9563.125,7,97748
56624,3,3441,88054,11006.75,4,94159
29198,1,4307,84259,10532.375,11,89866
9658,8,14522,75080,9385,0,90456
14574,1,2221,85150,10643.75,3,87371
60068,0,0,98430,12303.75,30,98430
3881,3,8531,67595,8449.375,23,88729
27827,6,9126,90946,11368.25,1,106708
10329,0,0,110137,13767.125,93,110137
999,1,0,77676,9709.5,245,77676
2115,4,23221,87275,10909.375,0,159864
47309,1,9821,85784,10723,3,102405
20305,1,7265,74617,9327.125,7,114156
62894,4,5527,82455,10306.875,36,91678
40362,4,5601,84990,10623.75,0,97737
29121,5,4340,81870,10233.75,4,87386
52991,0,10772,86575,10821.875,15,99347
26669,4,12221,85521,10690.125,0,98478
44965,6,3495,82797,10349.625,4,88756
56097,2,8539,82236,10279.5,0,96875
40749,0,5663,85982,10747.75,8,100735
11607,1,3207,77850,9731.25,26,86781
4317,7,5851,87996,10999.5,0,94472
19249,4,13409,96979,12122.375,14,111388
47093,6,10683,87699,10962.375,8,116008
13888,3,7588,85341,10667.625,1,97225
20402,5,6247,93840,11730,9,109012
5910,1,8587,62181,10363.5,2,70768
30564,0,0,79092,9886.5,38,79092
30096,6,12804,87271,10908.875,13,107978
20157,3,3001,87513,10939.125,4,93590
30771,6,0,60079,7509.875,8,60079
31028,1,7185,80682,10085.25,1,95136
31495,0,0,65534,8191.75,1,65534
14282,0,3114,77563,9695.375,24,80677
14969,4,1760,93670,11708.75,5,115585
9594,0,6587,85066,10633.25,11,91653
21740,5,1776,87148,10893.5,29,88924
59729,6,4746,90389,11298.625,0,95535
46647,7,5959,62110,7763.75,22,68530
57726,3,6784,92712,11589,1,136426
11321,15,10300,89556,11194.5,5,99856
59560,2,5625,88407,11050.875,25,94032
56492,4,4327,102707,12838.375,53,186468
18022,1,10713,73460,9182.5,1,86144
11183,6,8387,83588,10448.5,8,146263
11243,4,3393,84017,10502.125,0,91186
11191,2,5722,91568,11446,176,98090
55420,3,0,68328,8541,6,83850
61982,0,4728,68361,8545.125,26,73089
20557,3,11405,82030,10253.75,24,98435
8692,2,9236,74603,9325.375,2,98939
37007,0,3816,82465,10308.125,13,86281
557,3,10641,78310,9788.75,0,101850
53184,4,7200,69679,8709.875,7,84979
23126,0,0,68332,8541.5,84,68332
4672,3,2106,81431,10178.875,5,83537
50244,3,9400,86632,10829,5,99664
12524,1,4292,96151,12018.875,43,100443
9569,6,9741,77249,9656.125,1,109979
38541,1,6131,73908,9238.5,19,81736
45995,6,8508,83890,10486.25,1,92398
8525,5,6400,67270,8408.75,13,83170
9611,4,5467,66726,8340.75,26,77193
54785,4,6420,99705,12463.125,10,106925
5903,6,10594,82933,10366.625,20,94615
15475,6,4764,77369,9671.125,11,82133
18844,3,1693,82761,10345.125,2,84454
5167,0,3730,98122,12265.25,0,128256
19179,4,4966,78485,9810.625,8,85451
15802,0,3488,97706,13958,128,101194
40135,3,0,62317,7789.625,3,62317
42700,4,8299,86379,12339.85714,0,94678
34525,7,12387,72711,9088.875,0,85098
57559,0,12356,77100,9637.5,0,91456
16715,2,5516,78842,9855.25,26,86358
40365,0,2305,79172,9896.5,47,84669
43846,0,4017,69856,8732,0,82553
54645,4,10654,66400,8300,163,80026
56118,3,5114,85593,10699.125,46,93153
45566,2,5355,77304,9663,9,82659
38361,0,2111,76471,9558.875,24,78582
156,1,4774,85428,10678.5,21,168458
29824,1,4717,75379,9422.375,4,84859
2149,5,11877,63060,7882.5,8,103861
8678,3,6734,77392,9674,62,84126
53581,3,5696,68353,8544.125,3,84105
30326,1,4032,86920,10865,17,98920
43637,2,9900,65380,8172.5,0,75280
55499,1,6138,86843,10855.375,22,95565
49298,0,4467,79786,9973.25,9,84253
42157,0,2869,84242,10530.25,32,88211
10283,3,11959,72746,9093.25,1,212792
19508,7,11957,76699,9587.375,0,109822
55130,8,4429,59745,7468.125,4,64174
29440,0,3088,62076,7759.5,30,65164
40177,4,6540,84273,10534.125,17,120965
49867,5,2975,72602,9075.25,27,75853
38621,7,6011,74240,9280,2,80251
40322,5,2860,84626,10578.25,1,90062
58432,1,2561,82596,10324.5,0,91921
42627,0,0,89175,11146.875,5,89175
35314,1,9528,83339,10417.375,77,100125
57188,0,9495,85106,10638.25,0,94601
17102,2,3252,57908,7238.5,6,61160
62873,7,9650,65896,8237,5,75546
29484,1,0,68776,8597,42,68776
29166,2,4136,73658,9207.25,9,79794
36116,2,10232,67143,8392.875,2,81026
60503,4,8078,85151,10643.875,182,100772
18790,5,8125,78099,9762.375,10,90497
11105,7,0,89158,11144.75,52,89158
41035,3,5250,71997,8999.625,4,77247
21151,0,2911,79726,9965.75,23,85646
47964,0,12467,66095,8261.875,11,80714
46252,6,10233,77762,9720.25,5,89995
39255,5,18467,67763,8470.375,64,86730
44810,2,3924,77127,9640.875,16,82506
47782,0,4613,75639,9454.875,2,82252
39078,0,3300,75140,9392.5,17,81902
11878,1,0,54198,6774.75,30,54198
23577,0,6124,62949,7868.625,9,69073
19053,8,9570,71408,8926,8,138707
51497,0,3588,75879,9484.875,46,79467
2155,0,2462,79640,9955,10,82102
20561,3,5170,94239,11779.875,15,135820
59249,4,6185,73802,9225.25,9,85382
31448,7,5819,80411,10051.375,17,89527
62033,0,3673,76626,9578.25,0,83899
57741,7,10072,71801,8975.125,9,122622
38207,5,10462,77290,9661.25,4,90686
37124,0,17445,90726,11340.75,200,108171
31799,0,2846,89213,11151.625,133,92059
31240,3,6202,85024,10628,2,92593
2018,3,996,66734,8341.75,9,70001
22701,2,3614,79541,9942.625,12,84043
29347,3,8282,69987,8748.375,75,80860
1035,5,6934,74666,9333.25,5,94798
4331,4,6285,75164,9395.5,9,89831
33530,1,2046,72221,9027.625,0,77155
55364,14,16859,69661,8707.625,16,101599
47792,0,7866,60157,7519.625,26,68847
52714,3,3970,70236,8779.5,59,82077
26509,0,7373,72716,9089.5,8,85016
44606,0,3630,69919,8739.875,4,73549
3570,2,11067,75892,9486.5,23,86959
9520,2,2768,87791,10973.875,54,92059
1101,0,3316,76704,9588,21,92543
62795,8,6935,78455,9806.875,8,133497
1282,5,1253,79294,9911.75,2,82323
56170,8,14989,88329,11041.125,3,133546
6022,0,4020,78517,9814.625,26,83425
30310,4,10604,76931,9616.375,22,88321
9733,6,8118,80154,10019.25,2,88772
46272,2,9403,68954,8619.25,11,80328
6480,6,10319,61517,7689.625,3,71836
57857,3,10780,75337,9417.125,60,91787
15633,0,0,69482,8685.25,18,69482
47933,0,3713,57828,7228.5,262,61541
23070,0,6047,69006,8625.75,13,75053
62373,2,3470,65331,8166.375,119,68801
24551,0,0,73542,9192.75,0,73542
35715,4,7751,75239,9404.875,25,84490
15383,0,2063,72162,9020.25,22,74225
12319,0,0,53181,6647.625,35,53181
54390,0,9303,79804,9975.5,3,114260
57582,6,16086,67036,8379.5,2,85122
40819,0,1716,81551,10193.875,16,83267
36972,7,6099,80263,10032.875,2,108938
